f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
14.34985968,13.85160898,12.64217961,11.10616464,10.75449018,10.67434051,11.80153414,101.9045931,143.4141534,245.3576707,272.6864827,276.3468382,276.6576801,276.7709261,1013.79746,282.3292857,42.62539683
20.84670182,20.27472675,18.74350911,16.56003835,16.17356663,16.06961649,17.8257814,109.5470949,149.4019271,246.5198754,271.7265005,274.4001918,274.5750911,274.5699904,1013.649757,279.8933549,48.79546191
25.98435328,25.07586873,22.84751931,19.62478764,18.94994208,18.56611004,20.38473938,112.6865347,152.2839479,248.1628668,273.2263417,276.8367664,277.2355792,277.3771525,1012.578909,284.3855049,39.17915309
24.69489443,23.80679463,21.6409501,18.4603167,17.76264875,17.35059501,18.88129559,110.5047313,150.4871113,247.2999232,272.6656334,276.468023,276.9453551,277.0741651,1014.365937,282.8578264,49.22846715
23.78420113,22.59390038,19.32285714,15.18516917,14.20927632,13.24774436,13.82655075,105.0917387,146.1685714,246.131156,272.6237124,277.5194455,278.2250188,278.5047556,1017.6251,285.2662151,36.95314741
18.91452936,17.90465051,15.92271202,13.22173346,12.6671109,12.20145387,13.14145387,105.2245107,145.6570084,242.8492917,267.3760112,270.8205871,271.2943057,271.4466076,1027.795422,277.3898185,43.82454617
11.75214085,11.32082629,10.78920188,10.05869484,10.03369014,10.12082629,11.6246385,103.1431925,144.0978779,242.4256901,267.3486291,271.5068357,272.0844131,272.449061,1025.535612,278.7779014,36.5391097
12.82384902,12.2438397,11.51264678,10.48775396,10.32157502,10.34523765,11.74994408,103.1750513,143.8707083,241.3653215,265.6219199,268.213644,268.5958341,268.8354147,1024.751899,274.9400316,48.73655063
16.66130639,15.76422932,14.23171992,12.03707707,11.63637218,11.42773496,12.70603383,103.9681673,144.8229511,243.1290508,268.358609,272.2585902,272.7071617,273.0244173,1022.516162,279.4167197,39.59649682
26.10710704,25.12393443,22.74353905,19.84897782,19.32960463,19.27987464,21.49338476,114.7101736,152.8939055,244.2535005,267.659325,270.8081581,271.1802122,271.3546384,1023.424593,278.0820033,43.18289902
28.8113346,27.86263108,25.41240229,21.62770257,20.74580553,19.9870448,21.50685415,114.5028408,152.2961678,243.104061,266.4682936,269.6751287,270.2005243,270.4663298,1020.390814,277.5,67.24810637
29.01224604,27.18607642,23.51805219,18.49243243,17.24235788,15.92600186,16.42769804,107.6701957,147.1817055,242.6914445,266.57,269.3491799,269.609795,269.8619664,1020.797864,276.5047468,68.85403481
39.06007021,37.6598997,33.96293882,28.54604814,27.29961886,26.35421264,28.42345035,123.518666,159.7396289,246.4895186,268.7322166,271.840331,272.2129087,272.3892377,1017.837595,279.700841,64.73086627
22.34884466,21.34265049,19.00556311,15.57339806,14.77705825,13.87514563,14.6771068,105.9756893,146.5410485,243.9856796,268.9270485,272.0078738,272.3467476,272.4615049,1021.923505,278.7701884,70.35790336
18.20262952,17.15216031,15.1544086,12.6615738,12.16391007,11.76325513,12.65144673,104.0400196,145.2763245,244.9593157,271.022131,275.0226784,275.3607722,275.5267351,1022.174217,281.3419275,48.0306425
14.7488499,14.05692982,12.91573099,11.42509747,11.08576023,10.99620858,12.24404483,103.9090546,144.7842398,243.9012183,269.294883,272.222885,272.51346,272.5658674,1023.915201,277.6254725,59.50953164
24.39395257,23.08498024,20.06900198,16.44900198,15.67625494,14.92763834,16.00033597,107.9766502,148.1727668,245.4969071,271.1854941,275.0484091,275.6513834,275.9306621,1020.674751,283.0206811,54.9551495
